Subject,order,right_amygdala_activation
2,cond1,-0.04272
3,cond1,-0.03086
4,cond1,-0.431
5,cond1,-0.07204
7,cond1,-0.1077
10,cond1,-0.2598
11,cond1,0.1462
13,cond1,-0.1303
22,cond1,0.3834
25,cond1,0.07537
32,cond1,0.3787
33,cond1,-0.2361
36,cond1,-0.3541
37,cond1,-0.2225
41,cond1,-0.1126
42,cond1,-0.2092
44,cond1,0.4893
45,cond1,0.0939
49,cond1,-0.07971
50,cond1,0.06678
51,cond1,0.1278
52,cond1,-0.09154
57,cond1,0.1278
58,cond1,0.1636
62,cond1,0.05822
65,cond1,0.2328
71,cond1,0.08303
74,cond1,-0.11
75,cond1,0.401
77,cond1,0.651
81,cond1,-1.439
82,cond1,0.05828
83,cond1,0.2513
84,cond1,0.2056
85,cond1,-0.2317
86,cond1,0.1027
87,cond1,0.1063
90,cond1,0.04593
95,cond1,-0.3496
2,cond2,0.09158
3,cond2,-0.1954
4,cond2,-0.06075
5,cond2,-0.08338
7,cond2,0.717
10,cond2,0.1773
11,cond2,-0.1702
13,cond2,-0.3127
22,cond2,0.2122
25,cond2,-0.03223
32,cond2,-0.2082
33,cond2,-0.07277
36,cond2,0.07062
37,cond2,-0.2718
41,cond2,-0.186
42,cond2,-0.4267
44,cond2,-0.1369
45,cond2,0.02276
49,cond2,0.09791
50,cond2,-0.007021
51,cond2,-0.2189
52,cond2,0.0496
57,cond2,-0.007264
58,cond2,-0.09589
62,cond2,0.8004
65,cond2,0.2085
71,cond2,0.173
74,cond2,0.417
75,cond2,0.4578
77,cond2,-0.2471
81,cond2,-0.481
82,cond2,0.1003
83,cond2,0.05337
84,cond2,-0.1942
85,cond2,-0.05695
86,cond2,-0.09796
87,cond2,0.1671
90,cond2,-0.05825
95,cond2,0.06276